Overall
  Valid: 638596, Invalid Length: 4103, Invalid ASN: 2514, Not Found: 585915, VRPS seen: 319456, VRPS unseen: 223370, VRPS too permissive: 49190
MK: Valid: 88, Invalid Length: 0, Invalid ASN: 0, Not Found: 317, VRPS seen: 65, VRPS unseen: 61, VRPS too permissive: 4
ML: Valid: 34, Invalid Length: 0, Invalid ASN: 0, Not Found: 126, VRPS seen: 3, VRPS unseen: 0, VRPS too permissive: 5
MM: Valid: 688, Invalid Length: 9, Invalid ASN: 2, Not Found: 54, VRPS seen: 556, VRPS unseen: 180, VRPS too permissive: 20
MN: Valid: 352, Invalid Length: 0, Invalid ASN: 0, Not Found: 2, VRPS seen: 313, VRPS unseen: 277, VRPS too permissive: 19
MO: Valid: 111, Invalid Length: 0, Invalid ASN: 0, Not Found: 11, VRPS seen: 55, VRPS unseen: 769, VRPS too permissive: 7
MP: Valid: 34, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 34, VRPS unseen: 32, VRPS too permissive: 0
MQ: Valid: 142, Invalid Length: 0, Invalid ASN: 0, Not Found: 6, VRPS seen: 117, VRPS unseen: 18, VRPS too permissive: 3
MR: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 90, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
MS: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 1, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
MT: Valid: 55, Invalid Length: 0, Invalid ASN: 0, Not Found: 562, VRPS seen: 41, VRPS unseen: 23, VRPS too permissive: 4
MU: Valid: 1425, Invalid Length: 0, Invalid ASN: 59, Not Found: 628, VRPS seen: 335, VRPS unseen: 135, VRPS too permissive: 130
MV: Valid: 272, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 40, VRPS unseen: 5, VRPS too permissive: 94
MW: Valid: 242, Invalid Length: 0, Invalid ASN: 0, Not Found: 65, VRPS seen: 57, VRPS unseen: 38, VRPS too permissive: 11
MX: Valid: 8260, Invalid Length: 1, Invalid ASN: 12, Not Found: 16418, VRPS seen: 1695, VRPS unseen: 179, VRPS too permissive: 260
MY: Valid: 2784, Invalid Length: 12, Invalid ASN: 11, Not Found: 427, VRPS seen: 1714, VRPS unseen: 930, VRPS too permissive: 111
MZ: Valid: 146, Invalid Length: 0, Invalid ASN: 0, Not Found: 685, VRPS seen: 16, VRPS unseen: 3, VRPS too permissive: 9
NA: Valid: 150, Invalid Length: 0, Invalid ASN: 0, Not Found: 34, VRPS seen: 22, VRPS unseen: 6, VRPS too permissive: 34
NC: Valid: 70, Invalid Length: 0, Invalid ASN: 0, Not Found: 2, VRPS seen: 63, VRPS unseen: 43, VRPS too permissive: 3
NE: Valid: 15, Invalid Length: 0, Invalid ASN: 0, Not Found: 84, VRPS seen: 2, VRPS unseen: 0, VRPS too permissive: 1
NF: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 2, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
NG: Valid: 1343, Invalid Length: 2, Invalid ASN: 17, Not Found: 1578, VRPS seen: 342, VRPS unseen: 74, VRPS too permissive: 42
NI: Valid: 233, Invalid Length: 0, Invalid ASN: 0, Not Found: 150, VRPS seen: 29, VRPS unseen: 10, VRPS too permissive: 17
